chunk_index,total_size_bytes,total_size_gb,file_count
0,101154323332,94.212,546
1,43115038455,40.152,240
10,2960779728,2.755,17
100,37241507259,34.691,200
101,16718844499,15.567,94
102,5153249651,4.799,27
103,6988142518,6.51,37
104,5582202003,5.199,30
105,4924616108,4.586,27
106,994575974,0.926,6
107,2233387298,2.082,15
108,1840078589,1.713,12
109,5658550949,5.27,30
11,6623575017,6.167,35
110,6230827916,5.802,33
111,3851845153,3.589,21
112,597840019,0.556,4
12,4544129965,4.233,25
13,2956914951,2.752,17
14,98917247121,92.118,532
15,43756949658,40.749,245
16,26180303453,24.381,140
17,12719872628,11.843,70
18,2910579016,2.708,15
19,7079461634,6.594,37
2,27014154486,25.158,144
20,7166027029,6.673,39
21,2699162318,2.514,15
22,1302001630,1.213,8
23,2627904277,2.446,17
24,2795602832,2.604,16
25,6448493512,6.002,34
26,4838943419,4.507,26
27,3046500835,2.836,17
28,96204393304,89.591,516
29,43696517022,40.697,245
3,11526261462,10.736,64
30,27202333330,25.333,145
31,14082936328,13.115,77
32,2926401614,2.722,15
33,7038199753,6.552,37
34,7186366857,6.691,39
35,2882221136,2.683,16
36,1219890206,1.136,8
37,2563916553,2.39,16
38,2770498729,2.578,16
39,6203598651,5.776,33
4,2691743261,2.509,14
40,5216725124,4.858,28
41,3143464740,2.928,18
42,92044333287,85.723,495
43,45868841134,42.719,255
44,28256300517,26.324,152
45,14968013231,13.941,82
46,2915478333,2.716,15
47,6992837491,6.513,37
48,6885201173,6.412,38
49,3169588317,2.951,18
5,8027659241,7.479,42
50,1229350048,1.145,8
51,2510411401,2.338,16
52,2547552295,2.372,15
53,6148288884,5.723,33
54,5365774144,4.997,29
55,3194869446,2.974,18
56,87387155513,81.39,470
57,46917381670,43.697,261
58,30080795193,28.014,161
59,16310011436,15.192,89
6,6297819532,5.866,34
60,2907342748,2.707,15
61,6970716197,6.49,37
62,6886133843,6.413,38
63,3337707082,3.107,18
64,1170789902,1.091,7
65,2476396077,2.307,16
66,2099522185,1.954,12
67,6254667082,5.826,33
68,5651776863,5.262,30
69,3405046541,3.168,19
7,2577726145,2.401,15
70,83816697136,78.073,451
71,47984509796,44.691,267
72,32200086119,29.983,172
73,16564288151,15.425,91
74,3224150393,3.003,17
75,6934649887,6.457,36
76,6682507828,6.22,37
77,3600072964,3.353,20
78,1148303941,1.07,7
79,2459816268,2.291,16
8,1324987505,1.235,9
80,1850411725,1.723,11
81,6215505963,5.789,33
82,5746519294,5.353,31
83,3513285853,3.271,20
84,79289507710,73.839,428
85,49347347134,45.954,275
86,35144325634,32.735,186
87,16246733325,15.134,90
88,4132961075,3.849,22
89,6891848840,6.416,36
9,2621211440,2.441,17
90,6465940992,6.019,35
91,4035943319,3.759,22
92,1084266014,1.01,7
93,2330794455,2.17,15
94,1813087638,1.688,11
95,5818601402,5.415,31
96,6056163900,5.637,33
97,3676876721,3.424,20
98,73270031012,68.246,397
99,50653240111,47.173,278
