filename,size,size_gb
chunk_0-00000-of-00546.parquet,787281837,0.733
chunk_0-00001-of-00546.parquet,528737089,0.492
chunk_0-00002-of-00546.parquet,464586438,0.433
chunk_0-00003-of-00546.parquet,559931349,0.521
chunk_0-00004-of-00546.parquet,615367329,0.573
chunk_0-00005-of-00546.parquet,595983904,0.555
chunk_0-00006-of-00546.parquet,510822752,0.476
chunk_0-00007-of-00546.parquet,472042394,0.44
chunk_0-00008-of-00546.parquet,451507557,0.42
chunk_0-00009-of-00546.parquet,342223448,0.319
chunk_0-00010-of-00546.parquet,526679039,0.491
chunk_0-00011-of-00546.parquet,457253688,0.426
chunk_0-00012-of-00546.parquet,495913187,0.462
chunk_0-00013-of-00546.parquet,549226963,0.512
chunk_0-00014-of-00546.parquet,389448127,0.363
chunk_0-00015-of-00546.parquet,383650084,0.357
chunk_0-00016-of-00546.parquet,372698010,0.347
chunk_0-00017-of-00546.parquet,549653857,0.512
chunk_0-00018-of-00546.parquet,353571456,0.329
chunk_0-00019-of-00546.parquet,360826886,0.336
chunk_0-00020-of-00546.parquet,532797293,0.496
chunk_0-00021-of-00546.parquet,398866752,0.371
chunk_0-00022-of-00546.parquet,314104657,0.293
chunk_0-00023-of-00546.parquet,393057269,0.366
chunk_0-00024-of-00546.parquet,367680378,0.342
chunk_0-00025-of-00546.parquet,181440812,0.169
chunk_0-00026-of-00546.parquet,282888760,0.263
chunk_0-00027-of-00546.parquet,377164264,0.351
chunk_0-00028-of-00546.parquet,407305649,0.379
chunk_0-00029-of-00546.parquet,459662766,0.428
chunk_0-00030-of-00546.parquet,388664516,0.362
chunk_0-00031-of-00546.parquet,477626878,0.445
chunk_0-00032-of-00546.parquet,420225007,0.391
chunk_0-00033-of-00546.parquet,400317793,0.373
chunk_0-00034-of-00546.parquet,443136914,0.413
chunk_0-00035-of-00546.parquet,365911069,0.341
chunk_0-00036-of-00546.parquet,366923708,0.342
chunk_0-00037-of-00546.parquet,347805539,0.324
chunk_0-00038-of-00546.parquet,326613095,0.304
chunk_0-00039-of-00546.parquet,352476338,0.328
chunk_0-00040-of-00546.parquet,355196803,0.331
chunk_0-00041-of-00546.parquet,358485059,0.334
chunk_0-00042-of-00546.parquet,359637837,0.335
chunk_0-00043-of-00546.parquet,374469700,0.349
chunk_0-00044-of-00546.parquet,452669772,0.422
chunk_0-00045-of-00546.parquet,405904491,0.378
chunk_0-00046-of-00546.parquet,355556518,0.331
chunk_0-00047-of-00546.parquet,305882448,0.285
chunk_0-00048-of-00546.parquet,306721817,0.286
chunk_0-00049-of-00546.parquet,238040345,0.222
chunk_0-00050-of-00546.parquet,194655544,0.181
chunk_0-00051-of-00546.parquet,264952599,0.247
chunk_0-00052-of-00546.parquet,299096152,0.279
chunk_0-00053-of-00546.parquet,291307553,0.271
chunk_0-00054-of-00546.parquet,302393549,0.282
chunk_0-00055-of-00546.parquet,265435016,0.247
chunk_0-00056-of-00546.parquet,250418557,0.233
chunk_0-00057-of-00546.parquet,285601549,0.266
chunk_0-00058-of-00546.parquet,347848337,0.324
chunk_0-00059-of-00546.parquet,357051979,0.333
chunk_0-00060-of-00546.parquet,376773681,0.351
chunk_0-00061-of-00546.parquet,371106011,0.346
chunk_0-00062-of-00546.parquet,327035381,0.305
chunk_0-00063-of-00546.parquet,253654350,0.236
chunk_0-00064-of-00546.parquet,264899646,0.247
chunk_0-00065-of-00546.parquet,250541503,0.233
chunk_0-00066-of-00546.parquet,269506209,0.251
chunk_0-00067-of-00546.parquet,317879125,0.296
chunk_0-00068-of-00546.parquet,365841412,0.341
chunk_0-00069-of-00546.parquet,325884610,0.304
chunk_0-00070-of-00546.parquet,266100330,0.248
chunk_0-00071-of-00546.parquet,255197813,0.238
chunk_0-00072-of-00546.parquet,267858703,0.249
chunk_0-00073-of-00546.parquet,269246942,0.251
chunk_0-00074-of-00546.parquet,247842873,0.231
chunk_0-00075-of-00546.parquet,235703459,0.22
chunk_0-00076-of-00546.parquet,210704975,0.196
chunk_0-00077-of-00546.parquet,200078113,0.186
chunk_0-00078-of-00546.parquet,225724608,0.21
chunk_0-00079-of-00546.parquet,234779809,0.219
chunk_0-00080-of-00546.parquet,237598384,0.221
chunk_0-00081-of-00546.parquet,233223797,0.217
chunk_0-00082-of-00546.parquet,222827965,0.208
chunk_0-00083-of-00546.parquet,223887639,0.209
chunk_0-00084-of-00546.parquet,253829583,0.236
chunk_0-00085-of-00546.parquet,284272038,0.265
chunk_0-00086-of-00546.parquet,301440261,0.281
chunk_0-00087-of-00546.parquet,293305355,0.273
chunk_0-00088-of-00546.parquet,256318715,0.239
chunk_0-00089-of-00546.parquet,245465514,0.229
chunk_0-00090-of-00546.parquet,226285033,0.211
chunk_0-00091-of-00546.parquet,243295580,0.227
chunk_0-00092-of-00546.parquet,239333438,0.223
chunk_0-00093-of-00546.parquet,234883603,0.219
chunk_0-00094-of-00546.parquet,211704830,0.197
chunk_0-00095-of-00546.parquet,213333150,0.199
chunk_0-00096-of-00546.parquet,210301377,0.196
chunk_0-00097-of-00546.parquet,207994834,0.194
chunk_0-00098-of-00546.parquet,205131759,0.191
chunk_0-00099-of-00546.parquet,217934435,0.203
chunk_0-00100-of-00546.parquet,225773169,0.21
chunk_0-00101-of-00546.parquet,247555595,0.231
chunk_0-00102-of-00546.parquet,250710348,0.233
chunk_0-00103-of-00546.parquet,246842094,0.23
chunk_0-00104-of-00546.parquet,250245999,0.233
chunk_0-00105-of-00546.parquet,222906882,0.208
chunk_0-00106-of-00546.parquet,252824609,0.235
chunk_0-00107-of-00546.parquet,250958935,0.234
chunk_0-00108-of-00546.parquet,242862154,0.226
chunk_0-00109-of-00546.parquet,227609468,0.212
chunk_0-00110-of-00546.parquet,229971909,0.214
chunk_0-00111-of-00546.parquet,231252141,0.215
chunk_0-00112-of-00546.parquet,228798583,0.213
chunk_0-00113-of-00546.parquet,213161475,0.199
chunk_0-00114-of-00546.parquet,210927486,0.196
chunk_0-00115-of-00546.parquet,184656866,0.172
chunk_0-00116-of-00546.parquet,150389470,0.14
chunk_0-00117-of-00546.parquet,139744928,0.13
chunk_0-00118-of-00546.parquet,134879526,0.126
chunk_0-00119-of-00546.parquet,164281687,0.153
chunk_0-00120-of-00546.parquet,194780059,0.181
chunk_0-00121-of-00546.parquet,206991879,0.193
chunk_0-00122-of-00546.parquet,200682926,0.187
chunk_0-00123-of-00546.parquet,211563683,0.197
chunk_0-00124-of-00546.parquet,197119469,0.184
chunk_0-00125-of-00546.parquet,188351581,0.175
chunk_0-00126-of-00546.parquet,186339213,0.174
chunk_0-00127-of-00546.parquet,209063899,0.195
chunk_0-00128-of-00546.parquet,224506859,0.209
chunk_0-00129-of-00546.parquet,221562705,0.206
chunk_0-00130-of-00546.parquet,210744258,0.196
chunk_0-00131-of-00546.parquet,218053714,0.203
chunk_0-00132-of-00546.parquet,210170119,0.196
chunk_0-00133-of-00546.parquet,201341826,0.188
chunk_0-00134-of-00546.parquet,168985939,0.157
chunk_0-00135-of-00546.parquet,164051953,0.153
chunk_0-00136-of-00546.parquet,176081509,0.164
chunk_0-00137-of-00546.parquet,169948281,0.158
chunk_0-00138-of-00546.parquet,174399220,0.162
chunk_0-00139-of-00546.parquet,164135092,0.153
chunk_0-00140-of-00546.parquet,162912266,0.152
chunk_0-00141-of-00546.parquet,160614801,0.15
chunk_0-00142-of-00546.parquet,164826234,0.154
chunk_0-00143-of-00546.parquet,163367995,0.152
chunk_0-00144-of-00546.parquet,167845547,0.156
chunk_0-00145-of-00546.parquet,168028858,0.156
chunk_0-00146-of-00546.parquet,169401971,0.158
chunk_0-00147-of-00546.parquet,173415265,0.162
chunk_0-00148-of-00546.parquet,172648826,0.161
chunk_0-00149-of-00546.parquet,186168847,0.173
chunk_0-00150-of-00546.parquet,170198766,0.159
chunk_0-00151-of-00546.parquet,182891566,0.17
chunk_0-00152-of-00546.parquet,171707113,0.16
chunk_0-00153-of-00546.parquet,179835867,0.167
chunk_0-00154-of-00546.parquet,194387040,0.181
chunk_0-00155-of-00546.parquet,188765770,0.176
chunk_0-00156-of-00546.parquet,191410221,0.178
chunk_0-00157-of-00546.parquet,200110994,0.186
chunk_0-00158-of-00546.parquet,181757495,0.169
chunk_0-00159-of-00546.parquet,181351505,0.169
chunk_0-00160-of-00546.parquet,183136116,0.171
chunk_0-00161-of-00546.parquet,182930945,0.17
chunk_0-00162-of-00546.parquet,181171431,0.169
chunk_0-00163-of-00546.parquet,189300317,0.176
chunk_0-00164-of-00546.parquet,192145017,0.179
chunk_0-00165-of-00546.parquet,204600601,0.191
chunk_0-00166-of-00546.parquet,203780395,0.19
chunk_0-00167-of-00546.parquet,224895130,0.209
chunk_0-00168-of-00546.parquet,215182291,0.2
chunk_0-00169-of-00546.parquet,207764134,0.193
chunk_0-00170-of-00546.parquet,188932624,0.176
chunk_0-00171-of-00546.parquet,199305960,0.186
chunk_0-00172-of-00546.parquet,191983388,0.179
chunk_0-00173-of-00546.parquet,176963520,0.165
chunk_0-00174-of-00546.parquet,160145574,0.149
chunk_0-00175-of-00546.parquet,134002033,0.125
chunk_0-00176-of-00546.parquet,129991226,0.121
chunk_0-00177-of-00546.parquet,141456349,0.132
chunk_0-00178-of-00546.parquet,161752963,0.151
chunk_0-00179-of-00546.parquet,181853460,0.169
chunk_0-00180-of-00546.parquet,186504032,0.174
chunk_0-00181-of-00546.parquet,197625029,0.184
chunk_0-00182-of-00546.parquet,189665500,0.177
chunk_0-00183-of-00546.parquet,178471987,0.166
